gid,dep_name,country,state,latitude,longitude,commodity,dep_type,type_detail,model_code,model_name,metallic,citation
1,Obatu-Shela,Afghanistan,,32,66.2833,Aluminum,Surficial,,,,,"Orris and Bliss, 2002"
2,Hagigak,Afghanistan,,34.6778,68.0625,Barite,Hydrothermal,,,,,"Orris and Bliss, 2002"
3,Darrahe-Nur,Afghanistan,,34.6611,70.5417,"Beryllium-niobium,tin",Igneous,,,,,"Orris and Bliss, 2002"
4,Loghar,Afghanistan,,34.167,68.033,Chromium,Igneous,,,,,"Orris and Bliss, 2002"
5,Aynak,Afghanistan,,34.266,69.301,Copper,Sedimentary,,,,,"ESCAP, 1996"
6,Kundalyan,Afghanistan,,32.3128,66.5328,Copper-molybdenum-gold,Hydrothermal,,,,,"Orris and Bliss, 2002"
7,Darkhenj,Afghanistan,,35.4139,69.7583,Emerald,Gemstone,,,,,"Orris and Bliss, 2002"
8,Samty,Afghanistan,,37.584,69.859,Gold,Surficial,,,,,"Orris and Bliss, 2002"
9,Hajigak,Afghanistan,,34.6667,68.0667,Iron,Unclassified,,,,,"Orris and Bliss, 2002"
10,Kulam deposit,Afghanistan,,35.2019,70.3344,Kunzite,Igneous,,,,,"Orris and Bliss, 2002"
11,Sary Sang,Afghanistan,,36.1667,70.8167,Lapis Lazuli,Gemstone,,,,,"Orris and Bliss, 2002"
12,Pasghushta,Afghanistan,,35.3928,71.0144,Lithium-tantalum,Igneous,,,,,"Orris and Bliss, 2002"
13,Achin,Afghanistan,,34.05,70.7167,Magnesite-talc,Igneous,,,,,"Orris and Bliss, 2002"
14,Khanneshin,Afghanistan,,30.0333,63.5833,Phosphorous-rare earths,Igneous,,,,,"Orris and Bliss, 2002"
15,Jegdalek,Afghanistan,,34.4333,69.8167,Ruby,Gemstone,,,,,"Orris and Bliss, 2002"
16,Nilaw-Kolum,Afghanistan,,35.2083,70.3539,Tourmaline,Gemstone,,,,,"Orris and Bliss, 2002"
17,Gove,Australia,,-12.3,136.75,Aluminum,Surficial,,,,,"Loughnan and Sadleir, 1984"
18,Mitchel Plateau,Australia,,-15.2167,125.9333,Aluminum,Surficial,,,,,"Loughnan and Sadleir,1984"
19,Mount Saddleback,Australia,,-32.9333,116.1,Aluminum,Surficial,,,,,"Loughnan and Sadleir, 1984"
20,Weipa,Australia,,-12.6667,141.9167,Aluminum,Surficial,,,,,"Loughnan and Sadleir, 1984"
21,Gurrunda,Australia,,-34.684,149.483,Barite,Sedimentary,,,,,"GSA, OZMIN"
22,Arumpo,Australia,,-33.75,142.8333,Clay (bentonite),Sedimentary,,,,,"Lishmund and others, 1999"
23,Gurumundi,Australia,,-26.4333,149.8833,Clay (bentonite),Unclassified,,,,,"Cooper and others, 1996"
24,Cape York,Australia,,-12.6833,141.8667,Clay (kaolin),Surficial,,,,,"Driessen, 1990"
25,Skarndon River,Australia,,-11.7333,142.05,Clay (kaolin),Surficial,,,,,"Cooper and others, 1996"
26,Mount Lyell,Australia,,-42.1167,145.55,Copper,Hydrothermal,,,,,"Hughes, 1990"
27,Cadia Hill/Ridgeway,Australia,,-33.4667,149,Copper-gold,Hydrothermal,,,,,"Singer and others, 2002"
28,Endeavour,Australia,,-32.9167,148.0333,Copper-gold,Hydrothermal,,,,,"Singer and others, 2002"
29,Coppin Gap,Australia,,-20.8833,120.1,Copper-molybdenum,Hydrothermal,,,,,"Singer and others, 2002"
30,Olympic Dam,Australia,,-30.45,136.8833,"Copper-uranium,lead",Unclassified,,,,,"Hughes, 1990"
31,Mount Isa,Australia,,-20.7,139.3,Copper-zinc-lead-silver,Sedimentary,,,,,"Hughes, 1990"
32,Argyle,Australia,,-16.7144,128.3839,Diamond,Igneous,,,,,"Hughes, 1990"
33,Merlin,Australia,,-16.8508,136.3451,Diamond,Igneous,,,,,"GSA, OZMIN"
34,Kalgoorlie,Australia,,-30.75,121.5333,Gold,Hydrothermal,,,,,"Hughes, 1990"
35,Palmer River,Australia,,-15.8816,143.4654,Gold,Surficial,,,,,"GSA, OZMIN"
36,Lake Macleod,Australia,,-24.1667,113.6333,Halite-gypsum,Sedimentary,,,,,"Industrial Minerals, 1996"
37,Iron Range,Australia,,-12.7157,143.2967,Iron,Sedimentary,,,,,"GSA, OZMIN"
38,Koolanooka,Australia,,-29.217,116.233,Iron,Sedimentary,,,,,"GSA, OZMIN"
39,Middleback Range,Australia,,-33.05,137.15,Iron,Sedimentary,,,,,"GSA, OZMIN"
40,Mt Whaleback,Australia,,-23.3623,119.6846,Iron,Sedimentary,,,,,"GSA, OZMIN"
41,Mt. Newman,Australia,,-23.383,119.666,Iron,Sedimentary,,,,,"GSA, OZMIN"
42,Hilton,Australia,,-20.55,139.2833,Lead-zinc-silver,Hydrothermal,,,,,"Hughes, 1990"
43,McArthur River,Australia,,-16.5,136.0833,Lead-zinc-silver,Hydrothermal,,,,,"Hughes, 1990"
44,Greenbushes,Australia,,-33.8594,116.0653,Lithium,Igneous,,,,,"Driessen, 1990"
45,Kunwarara,Australia,,-22.9167,150.2167,Magnesite,Sedimentary,,,,,"Driessen, 1990"
46,Agnew/Leinster,Australia,,-27.4667,120.7,Nickel-copper,Igneous,,,,,"Hughes, 1990"
47,Kambalda,Australia,,-31.2,121.67,Nickel-copper,Igneous,,,,,"Hughes, 1990"
48,Mt Keith,Australia,,-27.7167,120.5333,Nickel-copper,Igneous,,,,,"Hughes, 1990"
49,Greenvale,Australia,,-18.9167,144.9833,Nickel-copper-cobalt,Surficial,,,,,"Hughes, 1990"
50,Coober Pedy,Australia,,-28.8333,134.75,Opal,Gemstone,,,,,"Keeling and others, 1990"
51,Christmas Island,Australia,,-10.4219,105.7158,Phosphorous,Surficial,,,,,"Barret, 1989"
52,Georgina Basin,Australia,,-21.8833,139.9667,Phosphorous,Sedimentary,,,,,"Industrial Minerals, 1998"
53,Lady Annie,Australia,,-19.76,139.112,Phosphorous,Sedimentary,,,,,"GSA, OZMIN"
54,Mount Weld,Australia,,-28.8667,122.5333,Phosphorous-rare earths,Igneous,,,,,"Pell, 1996"
55,Cape Flattery,Australia,,-14.9333,145.25,Silica sand,Surficial,,,,,"Cooper and others, 1996"
56,Three Springs,Australia,,-29.5047,115.8609,"Talc, asbestos",Unclassified,,,,,"Sims, 1997"
57,Bayfield,Australia,,-22.8,150.7667,Titanium-zirconium-REE,Surficial,,,,,"Jackson and Christiansen, 1993"
58,Cataby,Australia,,-30.7167,115.5167,Titanium-zirconium-REE,Surficial,,,,,"Jackson and Christiansen, 1993"
59,Chetwynd,Australia,,-37.2167,141.4167,Titanium-zirconium-REE,Surficial,,,,,"Komesaroff, 2001"
60,Coojarloo,Australia,,-30.6667,115.3333,Titanium-zirconium-REE,Surficial,,,,,"ESCAP and ABMRGG, 1988"
61,Eneabba,Australia,,-29.9,115.2667,Titanium-zirconium-REE,Surficial,,,,,"Hughes, 1990"
62,Frazer Island,Australia,,-24.6667,153.25,Titanium-zirconium-REE,Surficial,,,,,"Hughes, 1990"
63,Ginko,Australia,,-33.3833,142.15,Titanium-zirconium-REE,Surficial,,,,,"Komesaroff, 2001"
64,Mindarie,Australia,,-34.8167,140.2167,Titanium-zirconium-REE,Surficial,,,,,"Komesaroff, 2001"
65,North Stradbroke Island,Australia,,-27.5833,153.45,Titanium-zirconium-REE,Surficial,,,,,"Towner, 1992"
66,Stradbroke Island,Australia,,-27.5,153.9,Titanium-zirconium-REE,Surficial,,,,,"Hughes, 1990"
67,WIM 150,Australia,,-36.7167,142.2167,Titanium-zirconium-REE,Surficial,,,,,"Hughes, 1990"
68,Jabiluka,Australia,,-12.502,132.8957,Uranium-gold,Sedimentary,,,,,"GSA, OZMIN"
69,Rosebery,Australia,,-41.8167,145.5,Zinc-copper-lead-sulfur,Hydrothermal,,,,,"Hughes, 1990"
70,Century,Australia,,-18.741,138.625,Zinc-lead,Hydrothermal,,,,,"GSA, OZMIN"
71,Broken Hill,Australia,,-32,141.45,Zinc-lead-silver,Hydrothermal,,,,,"Hughes, 1990"
72,Cannington,Australia,,-21.8692,140.9194,Zinc-lead-silver,Hydrothermal,,,,,"GSA, OZMIN"
73,Elura,Australia,,-31.3333,145.8333,Zinc-lead-silver,Hydrothermal,,,,,"Hughes, 1990"
74,Moiskal Island,Bangladesh,,21.3333,91.9167,Titanium-zirconium-REE,Surficial,,,,,"McFaul and others, 2002"
75,Khepchishi Hill,Bhutan,,27.3833,89.3333,Graphite,Sedimentary,,,,,"ESCAP, 1991"
76,Khothakpa,Bhutan,,27.0167,91.4,Gypsum,Sedimentary,,,,,"ESCAP, 1991"
77,Monywa,Burma,,22.25,95.0833,Copper-silver-gold,Hydrothermal,,,,,"Singer and others, 2002"
78,Hwehka,Burma,,25.4842,96.2786,Jade,Gemstone,,,,,"ESCAP, 1995"
79,Kansi,Burma,,25.7836,96.3717,Jade,Gemstone,,,,,"ESCAP, 1995"
80,Tawmaw,Burma,,25.7036,96.2578,Jade,Gemstone,,,,,"ESCAP, 1995"
81,Bawdwin,Burma,,23.1167,97.35,Lead-zinc-nickel-cobalt,Hydrothermal,,,,,"Kamitani and Naito, 1998"
82,Mwaytung,Burma,,23.5,94,Nickel-copper-cobalt,Surficial,,,,,"Schellman, 1989"
83,Heinde,Burma,,14.1167,98.45,Tin,Igneous,,,,,"Kamitani and Naito, 1998"
84,Haute Chhlong,Cambodia,,12.383,107.2,Aluminum,Surficial,,,,,"ESCAP, 1993"
85,Pailin-Samlot,Cambodia,,12.833,102.6,Corundum,Gemstone,,,,,"ESCAP, 1993"
86,Phnom Deck,Cambodia,,13.233,105.05,Iron,Metamorphic,,,,,"ESCAP, 1993"
87,Pailin,Cambodia,,12.8333,102.6,Sapphire,Gemstone,,,,,"ESCAP, 1993a"
88,Bokeo,Cambodia,,12.6667,107.1667,Zircon,Gemstone,,,,,"ESCAP, 1993a"
89,Baiquan/Qianmuping,China,,37.8667,113.5333,Aluminum,Surficial,,,,,"Kamitani and Naito, 1998"
90,"Duchun, Xiaoyi",China,,37.3222,111.5028,Aluminum,Surficial,,,,,"Ariunbileg and others, 2003"
91,Guopanliang,China,,38.7528,111.1708,Aluminum,Surficial,,,,,"Ariunbileg and others, 2003"
92,Ke\'er,China,,37.3361,111.4889,Aluminum,Surficial,,,,,"Ariunbileg and others, 2003"
93,Re\'er,China,,37.3361,111.4889,Aluminum,Surficial,,,,,"Ariunbileg and others, 2003"
94,Shuiquliu,China,,44.55,127.0667,Aluminum,Surficial,,,,,"Wen Lu, 1998"
95,Taihushi,China,,37.8667,113.5667,Aluminum,Surficial,,,,,"Wen Lu, 1998"
96,"Xihedi, Xiaoyi",China,,37.3361,111.4861,Aluminum,Surficial,,,,,"Ariunbileg and others, 2003"
97,Dongfenggou,China,,32.9833,104.6667,Barite,Sedimentary,,,,,"Wen Lu, 1998"
98,Gongxi,China,,27.1167,109.1667,Barite,Sedimentary,,,,,"Wen Lu, 1998"
99,Lifang,China,,27.3833,117.1333,Barite,Sedimentary,,,,,"Wen Lu, 1998"
100,Pancun,China,,23.9667,109.6833,Barite,Hydrothermal,,,,,"Wen Lu, 1998"
101,Keketuohai,China,,47.2067,89.815,Beryllium-tantalum,Igneous,,,,,"Ariunbileg and others, 2003"
102,Wengquangou,China,,40.7,124.05,Boron,Sedimentary,,,,,"Ariunbileg and others, 2003"
103,Qaidam Qarhan,China,,37.5,95,Boron-lithium-potassium,Sedimentary,,,,,"Wen Lu, 1998"
104,Hebuksaler,China,,46.7833,85.7167,Clay (bentonite),Unclassified,,,,,"Industrial Minerals, 1990b"
105,Kerjian,China,,42.7833,88.6333,Clay (bentonite),Sedimentary,,,,,"Wen Lu, 1998"
106,Ningming,China,,22.1333,107.0667,Clay (bentonite),Sedimentary,,,,,"Wen Lu, 1998"
107,Pingshan,China,,28.9333,118.9833,Clay (bentonite),Sedimentary,,,,,"Wen Lu, 1998"
108,Xingsheng,China,,38.5167,111.0667,Clay (bentonite),Unclassified,,,,,"Industrial Minerals, 1990a"
109,Yangxian,China,,33.2167,107.5333,Clay (bentonite),Sedimentary,,,,,"Wen Lu, 1998"
110,Donggongxia,China,,25.1,117.0167,Clay (kaolin),Surficial,,,,,"Wen Lu, 1998"
111,Maoming,China,,21.9167,110.8667,Clay (kaolin),Surficial,,,,,"Yao Shaode, 1995"
112,Xuzhou,China,,34.2667,117.1833,"coal, clay",Sedimentary,,,,,"Industrial Minerals, 1990b"
113,Bainaimiao,China,,42.3,112.7833,Copper,Hydrothermal,,,,,"Ariunbileg and others, 2003"
114,DaTongChang,China,,30.6667,105.0667,Copper,Sedimentary,,,,,"Cox and others, 2003"
115,Disue-1,China,,41.3333,81.25,Copper,Sedimentary,,,,,"Cox and others, 2003"
116,Dongchuan area,China,,23.5,103,Copper,Sedimentary,,,,,"Ariunbileg and others, 2003"
117,FengShan,China,,24.15,102.1667,Copper,Sedimentary,,,,,"Cox and others, 2003"
118,JiuquiWan,China,,26.25,113.0833,Copper,Sedimentary,,,,,"Cox and others, 2003"
119,LaoQingShan,China,,23.05,103.9167,Copper,Sedimentary,,,,,"Kirkham and others, 1994"
120,LaoXue,China,,26.2833,102.3333,Copper,Sedimentary,,,,,"Cox and others, 2003"
121,OmeiHsien,China,,29.2833,106.2,Copper,Sedimentary,,,,,"Cox and others, 2003"
122,ShiShan,China,,24.1167,102.1667,Copper,Sedimentary,,,,,"Cox and others, 2003"
123,TangDan,China,,26.25,102.6667,Copper,Sedimentary,,,,,"Cox and others, 2003"
124,Tongquanshan,China,,30.9333,117.7833,Copper,Metamorphic,,,,,"Metals Economics Group, 1995"
125,YinMin,China,,26.3167,102.3333,Copper,Sedimentary,,,,,"Cox and others, 2003"
126,Lalachang,China,,26.1,101.9,Copper-gold-silver,Sedimentary,,,,,"Cox and others, 2003"
127,Yongping,China,,28.2167,117.8,Copper-gold-silver,Sedimentary,,,,,"Cox and others, 2003"
128,Tianbaoshan,China,,42.9167,129.9839,Copper-lead-zinc,Metamorphic,,,,,"Ariunbileg and others, 2003"
129,Aselei/Ashele,China,,48.2833,86.4667,Copper-lead-zinc-silver,Sedimentary,,,,,"Kamitani and Naito, 1998"
130,Yinshan,China,,28.85,117.4833,Copper-lead-zinc-silver,Hydrothermal,,,,,"Kamitani and Naito, 1998"
131,Duoxiasonduo,China,,31.15,97.8833,Copper-molybdenum,Hydrothermal,,,,,"Singer and others, 2002"
132,Malasongduo,China,,31.1667,98.15,Copper-molybdenum,Hydrothermal,,,,,"Singer and others, 2002"
133,Tongkuangyu,China,,35.5,111.7,Copper-molybdenum,Hydrothermal,,,,,"Singer and others, 2002"
134,Wunugetushan,China,,49.3928,117.4333,Copper-molybdenum,Hydrothermal,,,,,"Singer and others, 2002"
135,Yulong,China,,31.6333,97.9167,Copper-molybdenum,Hydrothermal,,,,,"Singer and others, 2002"
136,Chengmenshan,China,,28.6667,115.8333,Copper-molybdenum-gold,Hydrothermal,,,,,"Singer and others, 2002"
137,Dexing,China,,29.0167,117.5833,Copper-molybdenum-gold,Hydrothermal,,,,,"Singer and others, 2002"
138,Doubaoshan,China,,50.1833,125.6833,Copper-molybdenum-gold,Hydrothermal,,,,,"Singer and others, 2002"
139,Wushan,China,,29.75,115.68,Copper-molybdenum-gold,Metamorphic,,,,,"Metals Economics Group, 1995"
140,Kalatongke,China,,46.8083,89.8347,Copper-nickel,Igneous,,,,,"Ariunbileg and others, 2003"
141,Duobaoshan,China,,50.1833,125.6833,Copper-silver-gold,Hydrothermal,,,,,"Singer and others, 2002"
142,Zijinshan,China,,25.1,116.5,Copper-silver-gold,Hydrothermal,,,,,"Singer and others, 2002"
143,Toudaohe,China,,39.5,122.1667,Diamond,Surficial,,,,,"Ariunbileg and others, 2003"
144,Baguamiao,China,,33.9292,106.9472,Gold,Sedimentary,,,,,"Peters, 2002"
145,Dongping,China,,40.9361,115.6375,Gold,Igneous,,,,,"Ariunbileg and others, 2003"
146,Erdaogou,China,,42.0833,120.3472,Gold,Hydrothermal,,,,,"Ariunbileg and others, 2003"
147,Hanshan,China,,39.0833,96.475,Gold,Hydrothermal,,,,,"Ariunbileg and others, 2003"
148,Huanan,China,,46.3333,130.9167,Gold,Surficial,,,,,"Ariunbileg and others, 2003"
149,Huma,China,,50.0833,126.6667,Gold,Surficial,,,,,"Ariunbileg and others, 2003"
150,Jiaodong,China,,33.8833,106.65,Gold,Hydrothermal,,,,,"Kamitani and Naito, 1998"
151,Jiayin,China,,47.1667,130.5,Gold,Surficial,,,,,"Ariunbileg and others, 2003"
152,Jinchanggouliang,China,,42.1667,120.3,Gold,Igneous,,,,,"Metals Economics Group, 1995"
153,Laozhuoshan,China,,46.2667,131.5347,Gold,Igneous,,,,,"Ariunbileg and others, 2003"
154,Liba,China,,34.4167,105.0433,Gold,Sedimentary,,,,,"Peters, 2002"
155,Mohe,China,,52.6167,121.6667,Gold,Surficial,,,,,"Ariunbileg and others, 2003"
156,Paishanlou,China,,40.8056,121.9306,Gold,Hydrothermal,,,,,"Ariunbileg and others, 2003"
157,Getang,China,,25.1944,105.1583,Gold-antimony,Sedimentary,,,,,"Peters, 2002"
158,Lannigou,China,,25.35,105.69,Gold-arsenic-mercury,Sedimentary,,,,,"Peters, 2002"
159,Huangshilaoshan,China,,30.8972,117.8136,Gold-copper-lead,Metamorphic,,,,,"Peters, 2002"
160,Xinqiao,China,,30.9183,117.9767,Gold-copper-lead,Metamorphic,,,,,"Peters, 2002"
161,Banqi,China,,24.7344,105.6042,Gold-mercury,Sedimentary,,,,,"Peters, 2002"
162,Jilongshan,China,,33.5403,109,Gold-mercury,Sedimentary,,,,,"Peters, 2002"
163,Zimudang,China,,25.0506,105.46,Gold-mercury,Sedimentary,,,,,"Peters, 2002"
164,Dongbeizhai,China,,32.725,103.5569,Gold-silver,Sedimentary,,,,,"Peters, 2002"
165,Jiapigou,China,,42.9,127.3833,Gold-silver,Hydrothermal,,,,,"Ariunbileg and others, 2003"
166,Manaoke,China,,33.0503,104.0667,Gold-tungsten,Sedimentary,,,,,"Peters, 2002"
167,Laerma,China,,34.0011,102.5928,Gold-uranium,Sedimentary,,,,,"Peters, 2002"
168,Liumao,China,,45.0856,130.7847,Graphite,Metamorphic,,,,,"Ariunbileg and others, 2003"
169,Yunshan,China,,45.9167,132.4833,Graphite,Sedimentary,,,,,"Wen Lu, 1998"
170,Jintan,China,,31.75,119.5667,Halite,Sedimentary,,,,,"Industrial Minerals, 1990b"
171,Weixi,China,,30.2,106.65,Halite,Sedimentary,,,,,"Wen Lu, 1998"
172,Anshan/Hongai,China,,40.9833,123.3667,Iron,Sedimentary,,,,,"Kamitani and Naito, 1998"
173,Baizhiyan,China,,39.0861,113.7681,Iron,Sedimentary,,,,,"Ariunbileg and others, 2003"
174,"Baoguosi, Liaoning",China,,42.1042,120.8444,Iron,Sedimentary,,,,,"Ariunbileg and others, 2003"
175,Caiyuan,China,,40.05,118.55,Iron,Sedimentary,,,,,"Kamitani and Naito, 1998"
176,Fengjiayu,China,,40.6417,116.9681,Iron,Sedimentary,,,,,"Ariunbileg and others, 2003"
177,Jinling,China,,36.855,118.1181,Iron,Metamorphic,,,,,"Ariunbileg and others, 2003"
178,Laoniugou,China,,42.8792,127.4611,Iron,Sedimentary,,,,,"Ariunbileg and others, 2003"
179,Mengjiagou,China,,40.1667,118.5297,Iron,Sedimentary,,,,,"Ariunbileg and others, 2003"
180,Nanfen,China,,41.2278,124,Iron,Sedimentary,,,,,"Liu, 1990"
181,Pingxingguan,China,,39.3167,114.1194,Iron,Sedimentary,,,,,"Lin and Zhang, 1993"
182,Qidashan,China,,41.1389,123.3417,Iron,Sedimentary,,,,,"Ariunbileg and others, 2003"
183,Sanheming,China,,41.4333,110.95,Iron,Sedimentary,,,,,"Ariunbileg and others, 2003"
184,Shachang,China,,40.4278,117,Iron,Sedimentary,,,,,"Ariunbileg and others, 2003"
185,Shanyangping,China,,39.1514,113.3361,Iron,Sedimentary,,,,,"Ariunbileg and others, 2003"
186,Shirengou,China,,40.2361,117.8806,Iron,Sedimentary,,,,,"Ariunbileg and others, 2003"
187,Sijiaying,China,,39.675,118.7569,Iron,Sedimentary,,,,,"Liu, 1990"
188,Tadong,China,,43.8444,128.6444,Iron,Igneous,,,,,"Ariunbileg and others, 2003"
189,Xishimen,China,,36.8161,114.2331,Iron,Metamorphic,,,,,"Li, 1993"
190,Yuanjiachun,China,,38.2528,111.4633,Iron,Sedimentary,,,,,"Ariunbileg and others, 2003"
191,Zhalanzhangzh,China,,40.3278,119.3694,Iron,Sedimentary,,,,,"Ariunbileg and others, 2003"
192,Bayan Obo,China,,41.1667,117.8833,Iron-tantalum-vanadium,Igneous,,,,,"Ariunbileg and others, 2003"
193,Chuihongshan,China,,48.4569,128.6889,Iron-tungsten,Metamorphic,,,,,"Ariunbileg and others, 2003"
194,Xieertala,China,,49.2,120.6333,Iron-zinc-cadmium,Igneous,,,,,"Ariunbileg and others, 2003"
195,Chaihe,China,,42.2667,124.1667,Lead-zinc,Hydrothermal,,,,,"Ariunbileg and others, 2003"
196,Huanren,China,,41.3,125.3681,Lead-zinc,Metamorphic,,,,,"Ariunbileg and others, 2003"
197,Jiashengpan,China,,41.2306,109.3,Lead-zinc,Hydrothermal,,,,,"Ariunbileg and others, 2003"
198,Qingchengzi,China,,40.7667,123.6333,Lead-zinc,Hydrothermal,,,,,"Metals Economics Group, 1995"
199,Xiaoxilin,China,,47.35,128.9667,Lead-zinc,Hydrothermal,,,,,"Ariunbileg and others, 2003"
200,Xiaoyingzi,China,,42.7833,118.9667,Lead-zinc,Metamorphic,,,,,"Ariunbileg and others, 2003"
201,Lengshukeng,China,,27.95,117.25,Lead-zinc-silver,Hydrothermal,,,,,"Metals Economics Group, 1995"
202,Jinding,China,,26.3833,99.45,Lead-zinc-silver-strontium,Hydrothermal,,,,,"Metals Economics Group, 1995"
203,Xitieshan,China,,36.3167,95.5167,Lead-zinc-tin,Hydrothermal,,,,,"Metals Economics Group, 1995"
204,Fenzishan (Haicheng),China,,37.1667,119.9167,Magnesite,Sedimentary,,,,,"Wen Lu, 1998"
205,Huaziyu (Haicheng),China,,40.85,122.7333,Magnesite,Sedimentary,,,,,"Wen Lu, 1998"
206,Jinjiapuzi (Haicheng),China,,40.6,122.7167,Magnesite,Sedimentary,,,,,"Wen Lu, 1998"
207,Wangjiapuzi (Haicheng),China,,40.5,123.15,Magnesite,Sedimentary,,,,,"Wen Lu, 1998"
208,Xiafangshen,China,,40.6667,122.8333,Magnesite,Sedimentary,,,,,"Ariunbileg and others, 2003"
209,Dawan,China,,39.3111,115.1278,Molybdenum,Hydrothermal,,,,,"Ariunbileg and others, 2003"
210,Jinchuan,China,,38.4667,102.1,Nickel-copper,Igneous,,,,,"Metals Economics Group, 1995"
211,Xinyang,China,,32.05,114.0833,Perlite,Unclassified,,,,,"Wen Lu, 1998"
212,Huangmailing,China,,31.4833,114.1667,Phosphorous,Sedimentary,,,,,"Wen Lu, 1998"
213,Kaiyang,China,,27.05,106.9167,Phosphorous,Unclassified,,,,,"Wen Lu, 1998"
214,Kunming (Junning),China,,25.0667,102.6833,Phosphorous,Sedimentary,,,,,"Wen Lu, 1998"
215,Wengfu,China,,26.7,107.55,Phosphorous,Sedimentary,,,,,"Fountain, 1999"
216,Yichang,China,,30.8,111.3333,Phosphorous,Sedimentary,,,,,"Jasinski, 2000"
217,Anpeng,China,,32.5667,113.15,Potash,Sedimentary,,,,,"Garrett, 1992"
218,Dashanling,China,,30.4167,103.8167,Potash,Sedimentary,,,,,"Wen Lu, 1998"
219,Wucheng,China,,32.4167,113.5,Potash,Sedimentary,,,,,"Garrett, 1992"
220,Bayan Obo,China,,41.8667,109.9667,Rare earth elements-iron,Igneous,,,,,"Drew and others, 1990"
221,Puqian,China,,20.0333,110.5833,Silica sand,Surficial,,,,,"Wen Lu, 1998"
222,Sandaogou,China,,45.175,130.5125,Sillimanite,Metamorphic,,,,,"Jiang, Jisheng, 1994"
223,Jiawula,China,,48.8,116.3333,Silver-gold-lead,Metamorphic,,,,,"Ariunbileg and others, 2003"
224,Fanjiapuzi,China,,40.75,122.95,"Talc, asbestos",Hydrothermal,,,,,"Ariunbileg and others, 2003"
225,Jizhua,China,,25.8,110,"Talc, asbestos",Sedimentary,,,,,"Wen Lu, 1998"
226,Liboshikuang,China,,37.2833,120.8,"Talc, asbestos",Sedimentary,,,,,"Wen Lu, 1998"
227,Mangya,China,,37.8333,91.7667,"Talc, asbestos",Igneous,,,,,"Wen Lu, 1998"
228,Dachang,China,,24.8333,107.8333,Tin,Metamorphic,,,,,"Ariunbileg and others, 2003"
229,Fuhezhong,China,,24.5333,111.5167,Tin,Surficial,,,,,"Liu, 1990"
230,Limu,China,,24.85,110.8,Tin,Igneous,,,,,"Liu, 1990"
231,Shizhuyuan,China,,25.7667,113.2,Tin,Igneous,,,,,"Liu, 1990"
232,Yuxhia,China,,29.8333,106.0333,Tin,Sedimentary,,,,,"Wen Lu, 1998"
233,Baima,China,,27.05,102.1667,Titanium-vanadium-iron,Igneous,,,,,"Kamitani and Naito, 1998"
234,Daijishan,China,,24.6333,114.4,Tungsten,Metamorphic,,,,,"Kamitani and Naito, 1998"
235,Damingshan,China,,23.6,108.3667,Tungsten,Metamorphic,,,,,"Ariunbileg and others, 2003"
236,Lianhuashan,China,,23.65,116.8667,Tungsten,Igneous,,,,,"Liu, 1990"
237,Xihuashan,China,,25.3667,114.3167,Tungsten,Hydrothermal,,,,,"Liu, 1990"
238,Xingluokeng,China,,26.15,116.7833,Tungsten,Igneous,,,,,"Liu, 1990"
239,Yaogangxian,China,,25.65,113.3,Tungsten,Metamorphic,,,,,"Liu, 1990"
240,Tengchong,China,,25.0333,98.4667,wollastonite,Metamorphic,,,,,"Wen Lu, 1998"
241,Tiegsongshan,China,,43.3,124.3167,wollastonite,Metamorphic,,,,,"Wen Lu, 1998"
242,Fangniugou,China,,43.6083,125.0875,Zinc,Hydrothermal,,,,,"Ariunbileg and others, 2003"
243,Tanyaokou,China,,40.9667,106.8333,Zinc-copper,Hydrothermal,,,,,"Metals Economics Group, 1995"
244,Dongshengmiao,China,,41.1667,107.0667,Zinc-lead-copper,Hydrothermal,,,,,"Ariunbileg and others, 2003"
245,Namosi,Fiji,,-18.0417,178.175,Copper-gold-molybdenum,Hydrothermal,,,,,"Singer and others, 2002"
246,Emperor,Fiji,,-17.55,177.5117,Gold,Hydrothermal,,,,,"Kwak, 1990"
247,Amarkantak area,India,,22.7333,81.7667,Aluminum,Surficial,,,,,"Geological Survey India, 1974"
248,Gangapur-Hamla/K.ar,India,,23.05,69.4,Aluminum,Surficial,,,,,"Geological Survey India, 1974"
249,Kolhapur area,India,,16.4667,74.0833,Aluminum,Surficial,,,,,"Geological Survey India, 1974"
250,Natarhat Palamau ar,India,,23.25,84.3667,Aluminum,Surficial,,,,,"Geological Survey India, 1974"
251,Udgiri-Dhangarwadi,India,,16.9,73.9667,Aluminum,Surficial,,,,,"Geological Survey India, 1974"
252,Mangampeta,India,,14.4167,78.7333,Barite,Sedimentary,,,,,"Orris, 1985"
253,Sukinda Valley,India,,21.0333,85.75,Chromium,Igneous,,,,,"DeYoung and others, 1984"
254,Khetri,India,,28.0597,75.7944,Copper,Hydrothermal,,,,,"Roonwal and Wilson, 1998"
255,Surda,India,,22.55,86.4333,Copper,Hydrothermal,,,,,"Raghu and others, 1981"
256,Malanjkhand,India,,22.0167,80.7167,Copper-silver-gold,Hydrothermal,,,,,"Singer and others, 2002"
257,Bahradih pipes,India,,20.2,82.2,Diamond,Igneous,,,,,"McFaul and others, 2002"
258,Amba Dongar,India,,22,74.0833,Fluorite-phosphorus,Igneous,,,,,"Pell, 1996"
259,Kolar,India,,13.1667,78.1667,Gold,Hydrothermal,,,,,"Roonwal and Wilson, 1998"
